stock_code	stock_name	stock_name_en	market	target_sector	target_industry	target_business_model	confidence_score	confidence_level	ranker_model_version	financial_data_as_of	strength_titles	strength_icons	peer1_dimension	peer1_ticker	peer1_company_name	peer1_exchange	peer1_country	peer1_similarity_score	peer1_business_tags	peer1_sector	peer1_industry	peer1_business_model	peer1_scale_bucket	peer1_fiscal_year	peer1_market_cap_usd	peer1_revenue_usd	peer1_operating_income_usd	peer1_net_income_usd	peer1_financial_data_source	peer1_financial_similarity_score	peer2_dimension	peer2_ticker	peer2_company_name	peer2_exchange	peer2_country	peer2_similarity_score	peer2_business_tags	peer2_sector	peer2_industry	peer2_business_model	peer2_scale_bucket	peer2_fiscal_year	peer2_market_cap_usd	peer2_revenue_usd	peer2_operating_income_usd	peer2_net_income_usd	peer2_financial_data_source	peer2_financial_similarity_score	peer3_dimension	peer3_ticker	peer3_company_name	peer3_exchange	peer3_country	peer3_similarity_score	peer3_business_tags	peer3_sector	peer3_industry	peer3_business_model	peer3_scale_bucket	peer3_fiscal_year	peer3_market_cap_usd	peer3_revenue_usd	peer3_operating_income_usd	peer3_net_income_usd	peer3_financial_data_source	peer3_financial_similarity_score
000100	유한양행	Yuhanyanghaeng	KOSPI	Health Care	Biotechnology	Biotechnology research, development, and manufacturing	0.4842	MEDIUM	global-peer-dynamic-similarity-20260721034730	2025-12-31	Biotechnology Platform;Industrial Solutions;Multi-Division Operations;Global Reach	biotechnology;industrial;ecosystem;global_business	overall_business	BIIB	Biogen	NASDAQ_GLOBAL_SELECT	US	0.4842	biotech;biologics	Health Care	Biotechnology	Biologics and specialty drug development	LARGE_CAP	2025	31843849766.0	9890600000.0	2840700000.0	1292900000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9996	biotechnology	HALO	Halozyme Therapeutics	NASDAQ_GLOBAL_SELECT	US	0.4851	biotech platform;drug delivery;royalty licensing	Health Care	Biotechnology	Biotech platform licensing	MID_CAP	2025	9120153570.0	1396611000.0	469006000.0	316889000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9996	operational_scale	TMO	Thermo Fisher Scientific	NYSE	US	0.4566	biotech;biologics cdmo	Health Care	Biotechnology	Biologics contract development and life-science services	LARGE_CAP	2025	187282353501.0	44556000000.0	7746000000.0	6721000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9998
000150	두산	Doosan	KOSPI	Financials	Investment Holding Companies	Investment holding and portfolio management	0.66	MEDIUM	global-peer-dynamic-similarity-20260721034730	2025-12-31	Industrial Solutions;AI Technology;Energy Infrastructure;Cloud Infrastructure	industrial;ai;energy;software_platform	overall_business	MKL	Markel Group	NYSE	US	0.66	holding company;insurance	Financials	Investment Holding Companies	Investment holding and portfolio management	LARGE_CAP	2025	24306755441.0	15513233000.0	3194852000.0	2152405000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9994	energy	L	Loews	NYSE	US	0.6555	holding company;insurance	Financials	Investment Holding Companies	Investment holding and portfolio management	LARGE_CAP	2025	23412382370.0	18454000000.0		1772000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9405	operational_scale	BN	Brookfield Voting Shares	NYSE	US	0.5703	holding company;financials	Financials	Investment Holding Companies	Investment holding and portfolio management	LARGE_CAP		103311352128.0				NASDAQ_SUMMARY_MARKET_CAP	0.7717
000270	기아	Kia	KOSPI	Consumer Discretionary	Automobiles	Automobile manufacturing and mobility supply chain	0.6348	MEDIUM	global-peer-dynamic-similarity-20260721034730	2025-12-31	Vehicle Manufacturing;Mobility Portfolio;Industrial Solutions;Subsidiary Portfolio	automotive;automotive;industrial;ecosystem	overall_business	GM	General Motors	NYSE	US	0.6348	automotive	Consumer Discretionary	Automobiles	Automobile manufacturing and mobility supply chain	LARGE_CAP	2025	70185618779.0	185019000000.0	2909000000.0	2780000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9998	automotive	TM	Toyota Motor	NYSE	US	0.5557	automotive	Consumer Discretionary	Automobiles	Automobile manufacturing and mobility supply chain	MEGA_CAP	2025	270773470027.0	222373000000.0	14045000000.0	11520000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9999	industrial	SRFM	Surf Air Mobility	NYSE	US	0.4066	automotive;aerospace	Consumer Discretionary	Automobiles	Automobile manufacturing and mobility supply chain	MICRO_CAP	2025	88854090.0		-76874000.0	-110556000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.3739
000660	SK하이닉스	SK hynix	KOSPI	Information Technology	Semiconductors	Electrical equipment and components manufacturing	0.5241	MEDIUM	global-peer-dynamic-similarity-20260721034730	2025-12-31	Memory Technology;AI Technology;Foundry Capability;Market Leadership	memory;ai;foundry;global_business	overall_business	INTC	Intel	NASDAQ_GLOBAL_SELECT	US	0.5241	semiconductors;foundry	Information Technology	Semiconductors	Integrated semiconductor design and manufacturing	MEGA_CAP	2025	658355740000.0	52853000000.0	-2214000000.0	26000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.772	memory	MU	Micron Technology	NASDAQ_GLOBAL_SELECT	US	0.4671	semiconductors;memory chips	Information Technology	Semiconductors	Memory semiconductor manufacturing	MEGA_CAP	2025	1288603703496.0	37378000000.0	9770000000.0	8539000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.54	semiconductor	TSM	Taiwan Semiconductor Manufacturing	NYSE	US	0.4754	semiconductors;foundry	Information Technology	Semiconductors	Pure-play semiconductor foundry manufacturing	MEGA_CAP		2348760610825.0				NASDAQ_SUMMARY_MARKET_CAP	0.7751
000720	현대건설	Hyundai Engineering & Construction	KOSPI	Industrials	Construction and Engineering	Construction, engineering, and infrastructure projects	0.62	MEDIUM	global-peer-dynamic-similarity-20260721034730	2025-12-31	Energy Infrastructure;Industrial Solutions;Energy Transition;Subsidiary Portfolio	energy;industrial;energy;ecosystem	overall_business	ECG	Everus Construction Group	NYSE	US	0.6148	construction	Industrials	Construction and Engineering	Construction, engineering, and infrastructure projects	MID_CAP	2025	8009448814.0	3746387000.0	264750000.0	201770000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9998	industrial	GVA	Granite Construction Incorporated	NYSE	US	0.6127	construction	Industrials	Construction and Engineering	Construction, engineering, and infrastructure projects	MID_CAP	2025	6941944931.0	4424379000.0	282446000.0	220351000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9999	operational_scale	ROAD	Construction Partners	NASDAQ_GLOBAL_SELECT	US	0.6119	construction	Industrials	Construction and Engineering	Construction, engineering, and infrastructure projects	MID_CAP	2025	6797172031.0	2812356000.0	224811000.0	101781000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9997
000810	삼성화재	Samsung Fire & Marine Insurance	KOSPI	Financials	Insurance	Insurance underwriting and financial services	0.6425	MEDIUM	global-peer-dynamic-similarity-20260721034730	2025-12-31	Insurance Services;Retirement Solutions;Subsidiary Portfolio;Global Reach	financial_services;financial_services;ecosystem;global_business	overall_business	HIG	The Hartford Insurance Group	NYSE	US	0.6425	insurance	Financials	Insurance	Insurance underwriting and financial services	LARGE_CAP	2025	36527931765.0	28368000000.0	2264000000.0	2504000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9996	financial_services	NP	Neptune Insurance Holdings	NYSE	US	0.6274	insurance	Financials	Insurance	Insurance underwriting and financial services	MID_CAP	2025	4198197461.0	159551000.0	70955000.0	37413000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9994	operational_scale	THG	Hanover Insurance Group	NYSE	US	0.6198	insurance	Financials	Insurance	Insurance underwriting and financial services	MID_CAP	2025	7477026250.0	6594400000.0	933000000.0	662500000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9997
003230	삼양식품	Samyangsikpum	KOSPI	Consumer Staples	Food and Beverage	Packaged food, beverage, and consumer staples	0.6769	MEDIUM	global-peer-dynamic-similarity-20260721034730	2025-12-31	Global Reach;Industrial Solutions;Sales Channels;Food and Beverage Portfolio	global_business;industrial;commerce;commerce	overall_business	MNST	Monster Beverage	NASDAQ_GLOBAL_SELECT	US	0.6769	food and beverage	Consumer Staples	Food and Beverage	Packaged food, beverage, and consumer staples	LARGE_CAP	2025	95165079144.0	8294343000.0	2419354000.0	1905432000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9999	operational_scale	HRL	Hormel Foods	NYSE	US	0.673	food and beverage	Consumer Staples	Food and Beverage	Packaged food, beverage, and consumer staples	LARGE_CAP	2025	14481538146.0	2280227000.0	718603000.0	477764000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	1.0	commerce	SFD	Smithfield Foods	NASDAQ_GLOBAL_SELECT	US	0.6754	food and beverage	Consumer Staples	Food and Beverage	Packaged food, beverage, and consumer staples	MID_CAP	2025	9836931575.0	15531000000.0	1292000000.0	998000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9998
003490	대한항공	Daehanhanggong	KOSPI	Industrials	Airlines	Passenger and cargo airline operations	0.5808	MEDIUM	global-peer-dynamic-similarity-20260721034730	2025-12-31	Aerospace Capability;Passenger and Cargo;AI Technology;Industrial Solutions	industrial;commerce;ai;industrial	overall_business	DAL	Delta Air Lines	NYSE	US	0.5808	passenger transportation	Industrials	Airlines	Passenger and cargo airline operations	LARGE_CAP	2025	60893520403.0	63364000000.0	5822000000.0	4609000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9999	industrial	UAL	United Airlines Holdings	NASDAQ_GLOBAL_SELECT	US	0.5743	passenger transportation	Industrials	Airlines	Passenger and cargo airline operations	LARGE_CAP	2025	43890076694.0	59070000000.0	4713000000.0	2618000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9999	commerce	AAL	American Airlines Group	NASDAQ_GLOBAL_SELECT	US	0.5624	passenger transportation	Industrials	Airlines	Passenger and cargo airline operations	LARGE_CAP	2025	11795803918.0	54633000000.0	1467000000.0	822000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	1.0
003550	LG	LG Corp.	KOSPI	Financials	Investment Holding Companies	Investment holding and portfolio management	0.6378	MEDIUM	global-peer-dynamic-similarity-20260721034730	2025-12-31	Telecom Network;Subsidiary Portfolio;Battery Technology;Industrial Solutions	telecommunications;ecosystem;battery;industrial	overall_business	MKL	Markel Group	NYSE	US	0.6378	holding company;insurance	Financials	Investment Holding Companies	Investment holding and portfolio management	LARGE_CAP	2025	24306755441.0	15513233000.0	3194852000.0	2152405000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9999	operational_scale	L	Loews	NYSE	US	0.6338	holding company;insurance	Financials	Investment Holding Companies	Investment holding and portfolio management	LARGE_CAP	2025	23412382370.0	18454000000.0		1772000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9412	industrial	BN	Brookfield Voting Shares	NYSE	US	0.567	holding company;financials	Financials	Investment Holding Companies	Investment holding and portfolio management	LARGE_CAP		103311352128.0				NASDAQ_SUMMARY_MARKET_CAP	0.7678
003670	포스코퓨처엠	Poseukopyucheoem	KOSPI	Materials	Specialty Chemicals	Chemical and advanced materials manufacturing	0.6335	MEDIUM	global-peer-dynamic-similarity-20260721034730	2025-12-31	Battery Technology;Energy Infrastructure;Industrial Solutions;Subsidiary Portfolio	battery;energy;industrial;ecosystem	overall_business	DOW	Dow	NYSE	US	0.6335	chemicals	Materials	Specialty Chemicals	Chemical and advanced materials manufacturing	LARGE_CAP	2025	20087063877.0	39968000000.0		-2444000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.7201	battery	ALB	Albemarle	NYSE	US	0.5565	battery;materials	Materials	Specialty Chemicals	Battery materials and specialty chemical manufacturing	LARGE_CAP	2025	15306738353.0	5142733000.0	-367084000.0	-465210000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.6023	operational_scale	EMN	Eastman Chemical	NYSE	US	0.6352	chemicals	Materials	Specialty Chemicals	Chemical and advanced materials manufacturing	MID_CAP	2025	7644306261.0	8752000000.0	1532000000.0	475000000.0	SEC_COMPANYFACTS+NASDAQ_SUMMARY_MARKET_CAP	0.9979
